"","NU_ANO_CENSO","CO_IES","TP_CATEGORIA_ADMINISTRATIVA","TP_ORGANIZACAO_ACADEMICA","CO_LOCAL_OFERTA","CO_UF","CO_MUNICIPIO","IN_CAPITAL","CO_CURSO","NO_CURSO","TP_SITUACAO","CO_CINE_ROTULO","TP_GRAU_ACADEMICO","TP_MODALIDADE_ENSINO","TP_NIVEL_ACADEMICO","IN_GRATUITO","TP_ATRIBUTO_INGRESSO","NU_CARGA_HORARIA","DT_INICIO_FUNCIONAMENTO","DT_AUTORIZACAO_CURSO","IN_AJUDA_DEFICIENTE","IN_MATERIAL_DIGITAL","IN_MATERIAL_AMPLIADO","IN_MATERIAL_TATIL","IN_MATERIAL_IMPRESSO","IN_MATERIAL_AUDIO","IN_MATERIAL_BRAILLE","IN_MATERIAL_LIBRAS","IN_DISCIPLINA_LIBRAS","IN_TRADUTOR_LIBRAS","IN_GUIA_INTERPRETE","IN_RECURSOS_COMUNICACAO","IN_RECURSOS_INFORMATICA","IN_INTEGRAL","IN_MATUTINO","IN_VESPERTINO","IN_NOTURNO","NU_INTEGRALIZACAO_INTEGRAL","NU_INTEGRALIZACAO_MATUTINO","NU_INTEGRALIZACAO_VESPERTINO","NU_INTEGRALIZACAO_NOTURNO","NU_INTEGRALIZACAO_EAD","IN_OFERECE_DISC_SEMI_PRES","NU_PERC_CARGA_SEMI_PRES","IN_POSSUI_LABORATORIO","QT_INSC_VAGA_NOVA_INTEGRAL","QT_INSC_VAGA_NOVA_MATUTINO","QT_INSC_VAGA_NOVA_VESPERTINO","QT_INSC_VAGA_NOVA_NOTURNO","QT_INSC_VAGA_NOVA_EAD","QT_INSC_VAGA_REMAN_INTEGRAL","QT_INSC_VAGA_REMAN_MATUTINO","QT_INSC_VAGA_REMAN_VESPERTINO","QT_INSC_VAGA_REMAN_NOTURNO","QT_INSC_VAGA_REMAN_EAD","QT_INSC_PROG_ESP_INTEGRAL","QT_INSC_PROG_ESP_MATUTINO","QT_INSC_PROG_ESP_VESPERTINO","QT_INSC_PROG_ESP_NOTURNO","QT_INSC_PROG_ESP_EAD","QT_INSC_PRINCIPAL_INTEGRAL","QT_INSC_PRINCIPAL_MATUTINO","QT_INSC_PRINCIPAL_VESPERTINO","QT_INSC_PRINCIPAL_NOTURNO","QT_INSC_PRINCIPAL_EAD","QT_INSC_OUTRA_VAGA_INTEGRAL","QT_INSC_OUTRA_VAGA_MATUTINO","QT_INSC_OUTRA_VAGA_VESPERTINO","QT_INSC_OUTRA_VAGA_NOTURNO","QT_INSC_OUTRA_VAGA_EAD","QT_INSC_ANUAL_INTEGRAL","QT_INSC_ANUAL_MATUTINO","QT_INSC_ANUAL_VESPERTINO","QT_INSC_ANUAL_NOTURNO","QT_INSC_ANUAL_EAD","QT_VAGAS_NOVAS_INTEGRAL","QT_VAGAS_NOVAS_MATUTINO","QT_VAGAS_NOVAS_VESPERTINO","QT_VAGAS_NOVAS_NOTURNO","QT_VAGAS_NOVAS_EAD","QT_VAGAS_REMAN_INTEGRAL","QT_VAGAS_REMAN_MATUTINO","QT_VAGAS_REMAN_VESPERTINO","QT_VAGAS_REMAN_NOTURNO","QT_VAGAS_REMAN_EAD","QT_VAGAS_PROG_ESP_INTEGRAL","QT_VAGAS_PROG_ESP_MATUTINO","QT_VAGAS_PROG_ESP_VESPERTINO","QT_VAGAS_PROG_ESP_NOTURNO","QT_VAGAS_PROG_ESP_EAD","QT_VAGAS_PRINCIPAL_INTEGRAL","QT_VAGAS_PRINCIPAL_MATUTINO","QT_VAGAS_PRINCIPAL_VESPERTINO","QT_VAGAS_PRINCIPAL_NOTURNO","QT_VAGAS_PRINCIPAL_EAD","QT_VAGAS_OUTRAS_INTEGRAL","QT_VAGAS_OUTRAS_MATUTINO","QT_VAGAS_OUTRAS_VESPERTINO","QT_VAGAS_OUTRAS_NOTURNO","QT_VAGAS_OUTRAS_EAD","QT_VAGAS_ANUAL_INTEGRAL","QT_VAGAS_ANUAL_MATUTINO","QT_VAGAS_ANUAL_VESPERTINO","QT_VAGAS_ANUAL_NOTURNO","QT_VAGAS_ANUAL_EAD","QT_MATRICULA_TOTAL","QT_CONCLUINTE_TOTAL","QT_INGRESSO_TOTAL","QT_INGRESSO_VAGA_NOVA","QT_INGRESSO_PROCESSO_SELETIVO","QT_VAGA_TOTAL","QT_INSCRITO_TOTAL"
"28",2018,693,1,1,1038191,33,3304557,1,115472,"ADMINISTRAÇÃO PÚBLICA",1,"0413A02",1,1,1,1,0,3265,"01/03/2009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,4,NA,NA,NA,NA,0,NA,0,1872,NA,NA,NA,NA,23,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,30,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,38,102,93,NA,133,1895
"29",2018,693,1,1,1038191,33,3304557,1,115474,"CIÊNCIA POLÍTICA",1,"0312C01",1,1,1,1,0,2640,"01/03/2009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,4,NA,NA,NA,NA,0,NA,0,1136,NA,NA,NA,NA,9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,30,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,25,91,88,NA,133,1145
"30",2018,693,1,1,NA,NA,NA,NA,119100,"HISTÓRIA",1,"0114H01",2,2,1,1,0,3410,"02/03/2009",NA,1,0,1,0,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,449,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1188,121,444,443,NA,450,449
"31",2018,693,1,1,138195,33,3304557,1,320064,"HISTÓRIA",1,"0114H01",2,1,1,1,0,3315,"01/03/2000",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,4,NA,NA,NA,0,NA,0,NA,730,NA,NA,NA,NA,21,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,40,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,27,82,58,NA,103,751
"32",2018,693,1,1,138195,33,3304557,1,1101758,"SERVIÇO SOCIAL",1,"0923S01",1,1,1,1,0,3190,"01/01/2009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,4,NA,0,NA,0,NA,NA,NA,2004,NA,NA,NA,NA,9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,12,59,53,NA,90,2013
"33",2018,693,1,1,1233,33,3304557,1,1101759,"LETRAS - LÍNGUA PORTUGUESA",1,"0231L12",1,1,1,1,0,2490,"01/01/2009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,4,NA,0,NA,1,NA,NA,NA,380,NA,NA,NA,NA,4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,10,28,28,NA,60,384
"34",2018,693,1,1,1233,33,3304557,1,1101760,"LETRAS - LÍNGUA PORTUGUESA",1,"0115L13",2,1,1,1,0,2960,"01/01/2009",NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,4,NA,0,NA,1,NA,NA,NA,361,NA,NA,NA,NA,9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,23,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,7,27,25,NA,53,370
"35",2018,693,1,1,138195,33,3304557,1,1101761,"BIBLIOTECONOMIA",1,"0114E06",2,1,1,1,0,3405,"01/01/2009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,4,NA,0,NA,0,NA,NA,NA,1659,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,5,66,65,NA,110,1660
"36",2018,693,1,1,138195,33,3304557,1,1101762,"FILOSOFIA",1,"0223F01",1,1,1,1,0,3000,"01/01/2009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,4,NA,NA,NA,NA,0,NA,0,293,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,15,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,8,26,26,NA,45,293
"37",2018,693,1,1,138195,33,3304557,1,1101763,"FILOSOFIA",1,"0114F01",2,1,1,1,0,3435,"01/01/2009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,4.5,NA,NA,NA,NA,0,NA,0,320,NA,NA,NA,NA,5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,15,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,11,27,27,NA,45,325
"38",2018,693,1,1,138195,33,3304557,1,1101770,"MATEMÁTICA",1,"0114M01",2,1,1,1,0,3260,"01/01/2009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,4,NA,0,NA,0,NA,NA,NA,788,NA,NA,NA,NA,5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,31,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,6,25,22,NA,91,793
"39",2018,693,1,1,138195,33,3304557,1,1101775,"CIÊNCIAS AMBIENTAIS",1,"0521C01",1,1,1,1,0,2925,"01/01/2009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,4,NA,1,20,1,NA,NA,NA,572,NA,NA,NA,NA,4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,20,86,85,NA,130,576
"40",2018,693,1,1,138195,33,3304557,1,1101776,"ENGENHARIA DE PRODUÇÃO",1,"0725E02",1,1,1,1,0,3840,"01/01/2009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,5,NA,0,NA,0,NA,NA,NA,1134,NA,NA,NA,NA,26,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,35,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,20,54,47,NA,85,1160
"41",2018,693,1,1,138195,33,3304557,1,1103343,"CIÊNCIAS DA NATUREZA",1,"0114C02",2,1,1,1,0,3000,"01/01/2009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,4,NA,0,NA,0,NA,NA,NA,389,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,2,48,48,NA,90,390
"42",2018,693,1,1,138195,33,3304557,1,1128934,"PEDAGOGIA",1,"0113P01",2,1,1,1,0,3355,"01/01/2010",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,4.5,NA,NA,0,NA,0,NA,NA,1974,NA,NA,NA,NA,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,23,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,37,95,93,NA,129,1977
"43",2018,693,1,1,138189,33,3304557,1,1160031,"NUTRIÇÃO",1,"0915N01",1,1,1,1,0,4275,"01/01/2009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,6,NA,0,NA,1,NA,NA,NA,2720,NA,NA,NA,NA,27,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,11,62,52,NA,90,2747
"44",2018,693,1,1,138195,33,3304557,1,1163653,"BIOLOGIA",1,"0114B01",2,1,1,1,0,3250,"15/09/2009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,5,NA,0,NA,0,NA,NA,NA,950,NA,NA,NA,NA,21,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,14,41,23,NA,60,971
"45",2018,693,1,1,138195,33,3304557,1,1164822,"BIBLIOTECONOMIA",1,"0322B01",1,1,1,1,0,3095,"17/08/2010",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,5,NA,0,NA,0,NA,NA,NA,1434,NA,NA,NA,NA,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357,44,93,85,NA,130,1440
