NU_ANO_CENSO,CO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_DOCENTE_IES,ID_DOCENTE,TP_SITUACAO,TP_ESCOLARIDADE,TP_REGIME_TRABALHO,TP_SEXO,NU_ANO_NASCIMENTO,NU_MES_NASCIMENTO,NU_DIA_NASCIMENTO,NU_IDADE,TP_COR_RACA,CO_PAIS_ORIGEM,TP_NACIONALIDADE,CO_UF_NASCIMENTO,CO_MUNICIPIO_NASCIMENTO,IN_DEFICIENCIA,IN_DEFICIENCIA_CEGUEIRA,IN_DEFICIENCIA_BAIXA_VISAO,IN_DEFICIENCIA_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_SURDOCEGUEIRA,IN_DEFICIENCIA_MULTIPLA,IN_DEFICIENCIA_INTELECTUAL,IN_ATUACAO_EAD,IN_ATUACAO_EXTENSAO,IN_ATUACAO_GESTAO,IN_ATUACAO_GRAD_PRESENCIAL,IN_ATUACAO_POS_EAD,IN_ATUACAO_POS_PRESENCIAL,IN_ATUACAO_SEQUENCIAL,IN_ATUACAO_PESQUISA,IN_BOLSA_PESQUISA,IN_SUBSTITUTO,IN_EXERCICIO_DATA_REFERENCIA,IN_VISITANTE,TP_VISITANTE_IFES_VINCULO
2018,693,1,1,560389,FCA613D8F688DEF711DEC43BB712BCD9,1,5,1,1,1978,12,19,40,1,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,0,0,1,1,0,1,0,
2018,693,1,1,560396,9ADA8E63AD58218881DD8D22BE418776,1,4,1,2,1988,8,5,30,1,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,0,0,1,0,0,1,0,
2018,693,1,1,560493,4EC54491AE3125943B352CF33F635C7E,1,4,1,1,1989,1,15,29,1,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560647,53777FCC0824B619309BCEFE31189CF1,1,5,1,1,1966,9,11,52,1,76,1,33,3304557,0,,,,,,,,,0,1,1,1,0,0,0,1,1,0,1,0,
2018,693,1,1,560977,ADEAFD2229378F509ABA29505B89A9AB,1,4,3,1,1985,4,19,33,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,561110,8899F3401A90F786D4694E67C9684866,1,4,1,2,1988,4,2,30,3,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560932,5FAF8C01DEAA22A6449568DB5246CC41,1,5,1,2,1965,4,5,53,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,1,1,0,1,0,
2018,693,1,1,560954,BBDF3D134DFC5396F359424D455AD534,1,5,1,1,1984,12,2,34,1,76,1,33,3300209,0,,,,,,,,,0,0,0,1,0,0,0,1,1,0,1,0,
2018,693,1,1,560287,7BD686B0A8AC0670BE0F49A5DA5D34FD,1,4,2,2,1972,4,1,46,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560321,0C650B0AB754AC9A8D1BE8E78BD3CB68,1,5,1,1,1976,11,5,42,1,76,1,31,3106200,0,,,,,,,,,0,1,0,1,0,0,0,1,1,0,1,0,
2018,693,1,1,560403,C57483D09E343C9D75FB0D4FDFCBD521,1,5,1,2,1981,12,8,37,1,620,3,,,0,,,,,,,,,1,0,0,1,0,0,0,1,1,0,1,0,
2018,693,1,1,560433,6DE201BDB16FF9192052DDDC276CD87D,1,5,1,2,1976,12,23,42,1,76,1,43,4314100,0,,,,,,,,,0,1,1,1,0,1,0,1,1,0,1,0,
2018,693,1,1,679888,6F72D79DEA6300C45AC4EC503DCCDBE4,1,2,2,1,1974,5,30,44,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560594,178F54AC65BCEA3970EBB5BA99BE2924,1,4,1,2,1975,2,8,43,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560650,807B7666D450329B953DA846C79D6504,1,5,1,2,1988,6,25,30,1,76,1,35,3550308,0,,,,,,,,,0,1,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560734,DD5A7AF0FDA5D413D91DE91992084488,1,4,1,1,1977,11,15,41,1,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,0,0,1,1,0,1,0,
2018,693,1,1,560764,B0E06A5CD05D28D0ECAFAB1DAC8B7159,1,4,1,1,1985,3,14,33,3,76,1,33,3304557,0,,,,,,,,,0,1,1,1,0,0,0,1,0,0,1,0,
2018,693,1,1,561087,EAD5081083C8A492B2287E754FB603C5,1,4,1,2,1976,11,23,42,1,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,561109,4804B4AC989A4D8E8673EBB3DE7BF40A,1,4,1,2,1987,4,18,31,1,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,0,0,1,1,0,1,0,
2018,693,1,1,560909,A99B3E74C27533AF3A08683E3F2C8C19,1,5,1,1,1990,2,20,28,2,76,1,31,3106200,0,,,,,,,,,0,1,0,1,0,0,0,0,,0,0,0,
2018,693,1,1,560612,9D93BC344968A4A88ABD4DF8479F5F70,1,4,2,2,1982,1,19,36,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560717,EE47BD686680D53C88559FA80E524350,1,4,2,1,1965,11,19,53,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560590,3DEDACFAC087AAF1469031DBB3BAC25F,1,4,2,2,1975,11,24,43,1,76,1,31,3101508,0,,,,,,,,,0,0,0,1,0,0,0,0,,1,1,0,
2018,693,1,1,560601,84EEBC80860592A5901300CCAD4C9CA4,1,5,2,1,1982,5,24,36,3,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560696,996EA3B7574BB35140683B8809500B50,1,5,1,1,1977,1,18,41,1,76,1,21,2111300,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560707,BBDEFD3B1A62CD04A5116DEFFEF6FBEE,1,4,1,1,1983,11,27,35,1,76,1,33,3304557,0,,,,,,,,,0,1,1,1,0,0,0,0,,0,1,0,
2018,693,1,1,560755,8CC057B3A80A182A399B9EE6E41E7072,1,4,2,1,1986,3,15,32,2,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,1,1,0,
2018,693,1,1,560793,A5BA703D85735ACAB6355529CA54258A,1,4,1,2,1986,7,3,32,1,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560805,1E4CE474F75C0E20A23FEEE0701E1083,1,4,2,2,1968,6,25,50,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,1,1,0,
2018,693,1,1,561012,A0F13BAE07C43242304235F37B6D5E50,1,4,2,2,1982,11,18,36,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,561084,55E1C80C3BF1928FB3F7413AF91C6E5C,1,4,2,1,1990,3,8,28,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,1,1,0,
2018,693,1,1,560487,D3835CABC60E5539329FE5B6DC7654F8,1,4,2,2,1983,4,8,35,1,76,1,50,5002704,0,,,,,,,,,0,0,0,1,0,0,0,0,,1,1,0,
2018,693,1,1,560501,A0CAB28A01ACD69E793F06718097DEB6,1,4,2,1,1981,4,7,37,1,76,1,35,3550308,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,679878,04E4F1DFDC7696A05B1ABAC726DD1E2F,1,5,2,1,1963,3,26,55,1,76,1,31,3136702,0,,,,,,,,,0,0,0,1,0,1,0,0,,0,1,1,1
2018,693,1,1,679884,697A9E78DF2FEABAE3AEC3DB9E3C3163,1,5,2,2,1960,2,6,58,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,1,0,0,,0,1,1,1
2018,693,1,1,679890,A859E91BEE911B3D15ECEF075804377B,1,5,2,1,1976,10,6,42,3,76,1,35,3509502,0,,,,,,,,,0,0,0,1,0,1,0,0,,0,1,1,1
2018,693,1,1,679892,DBD4543ADEFDF5BB428724BD372842B5,1,5,2,2,1957,6,1,61,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,1,0,0,,0,1,1,1
2018,693,1,1,679893,FE38BA80904AD38537FDEE3EFE1876B2,1,5,2,1,1965,7,14,53,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,1,1
2018,693,1,1,679910,F3A58F5DDBC19FE0D41D08FFD0B366F0,1,2,3,2,1985,5,27,33,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
